id_airport,airport_type,airport_name,latitude_deg,longitude_deg,airport_code,region_name,local_region,municipality,iata_code,local_code
1,large_airport,Los Angeles International Airport,33.942501,-118.407997,Los Angeles (LAX),California,CA,Los Angeles,LAX,LAX
2,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,Chicago (ORD),Illinois,IL,Chicago,ORD,ORD
3,large_airport,John F Kennedy International Airport,40.639447,-73.779317,New York (JFK),New York,NY,New York,JFK,JFK
4,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Atlanta (ATL),Georgia,GA,Atlanta,ATL,ATL
5,large_airport,San Francisco International Airport,37.61899948,-122.375,San Francisco (SFO),California,CA,San Francisco,SFO,SFO
6,large_airport,Newark Liberty International Airport,40.692501,-74.168701,Newark (EWR),New Jersey,NJ,Newark,EWR,EWR
7,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,Dallas-Fort Worth (DFW),Texas,TX,Dallas-Fort Worth,DFW,DFW
8,large_airport,Harry Reid International Airport,36.083361,-115.151817,Las Vegas (LAS),Nevada,NV,Las Vegas,LAS,LAS
9,large_airport,Orlando International Airport,28.42939949,-81.30899811,Orlando (MCO),Florida,FL,Orlando,MCO,MCO
10,large_airport,Denver International Airport,39.86169815,-104.6729965,Denver (DEN),Colorado,CO,Denver,DEN,DEN
11,large_airport,Washington Dulles International Airport,38.9445,-77.455803,Dulles (IAD),Virginia,VA,Dulles,IAD,IAD
12,large_airport,La Guardia Airport,40.777199,-73.872597,New York (LGA),New York,NY,New York,LGA,LGA
13,large_airport,Miami International Airport,25.79319954,-80.29060364,Miami (MIA),Florida,FL,Miami,MIA,MIA
14,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,Phoenix (PHX),Arizona,AZ,Phoenix,PHX,PHX
15,large_airport,Seattle–Tacoma International Airport,47.449162,-122.311134,Seattle (SEA),Washington,WA,Seattle,SEA,SEA
16,large_airport,Logan International Airport,42.3643,-71.005203,Boston (BOS),Massachusetts,MA,Boston,BOS,BOS
17,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,Philadelphia (PHL),Pennsylvania,PA,Philadelphia,PHL,PHL
18,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,Charlotte (CLT),North Carolina,NC,Charlotte,CLT,CLT
19,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,Houston (IAH),Texas,TX,Houston,IAH,IAH
20,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,Washington (DCA),District of Columbia,DC,Washington,DCA,DCA
21,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,Detroit (DTW),Michigan,MI,Detroit,DTW,DTW
22,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,Minneapolis (MSP),Minnesota,MN,Minneapolis,MSP,MSP
23,large_airport,Salt Lake City International Airport,40.785749,-111.979746,Salt Lake City (SLC),Utah,UT,Salt Lake City,SLC,SLC
24,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,Fort Lauderdale (FLL),Florida,FL,Fort Lauderdale,FLL,FLL
25,large_airport,Chicago Midway International Airport,41.785999,-87.752403,Chicago (MDW),Illinois,IL,Chicago,MDW,MDW
26,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,Baltimore (BWI),Maryland,MD,Baltimore,BWI,BWI
27,large_airport,San Diego International Airport,32.73360062,-117.1900024,San Diego (SAN),California,CA,San Diego,SAN,SAN
28,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,St Louis (STL),Missouri,MO,St Louis,STL,STL
29,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,Honolulu (HNL),Hawaii,HI,Honolulu,HNL,HNL
30,large_airport,Portland International Airport,45.58869934,-122.5979996,Portland (PDX),Oregon,OR,Portland,PDX,PDX
31,large_airport,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,New Orleans (MSY),Louisiana,LA,New Orleans,MSY,MSY
32,large_airport,Tampa International Airport,27.97550011,-82.53320313,Tampa (TPA),Florida,FL,Tampa,TPA,TPA
33,large_airport,Nashville International Airport,36.12450027,-86.67819977,Nashville (BNA),Tennessee,TN,Nashville,BNA,BNA
34,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,Cincinnati / Covington (CVG),Kentucky,KY,Cincinnati / Covington,CVG,CVG
35,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,Austin (AUS),Texas,TX,Austin,AUS,AUS
36,large_airport,Raleigh Durham International Airport,35.877602,-78.787498,Raleigh/Durham (RDU),North Carolina,NC,Raleigh/Durham,RDU,RDU
