Id_delta,depart_date_time,arrive_date_time,depart_airport,arrive_airport,flight_number,flight_cost_coach,flight_cost_business
1,2023-01-05 20:39:00,2023-01-05 05:22:00,Atlanta (ATL),Tucson (TUS),DL2316,337.49,897.95
2,2023-01-04 20:39:00,2023-01-04 00:08:00,Phoenix (PHX),Atlanta (ATL),DL2355,733.28,2854.25
3,2023-01-04 15:10:00,2023-01-04 19:29:00,Atlanta (ATL),Phoenix (PHX),DL2355,296.42,770.45
4,2023-01-04 11:45:00,2023-01-04 14:00:00,San Antonio (SAT),Atlanta (ATL),DL2115,636.16,1607.39
5,2023-01-04 00:20:00,2023-01-04 03:00:00,Atlanta (ATL),San Antonio (SAT),DL2247,250.71,1212.51
6,2023-01-03 19:55:00,2023-01-03 22:38:00,Cancun (CUN),Atlanta (ATL),DL597,417.51,1875.41
7,2023-01-03 16:14:00,2023-01-03 18:55:00,Atlanta (ATL),Cancun (CUN),DL598,595.43,1152.84
8,2023-01-03 12:15:00,2023-01-03 14:16:00,Cleveland (CLE),Atlanta (ATL),DL2218,424.06,1084.22
9,2023-01-03 00:59:00,2023-01-03 02:44:00,Atlanta (ATL),Cleveland (CLE),DL343,360.78,2787.07
10,2023-01-02 21:10:00,2023-01-02 23:53:00,New York (LGA),Atlanta (ATL),DL490,366.72,1496.43
11,2023-01-02 17:31:00,2023-01-02 19:59:00,Orlando (MCO),New York (LGA),DL2759,418.15,1062.76
12,2023-01-02 13:00:00,2023-01-02 16:21:00,Minneapolis (MSP),Orlando (MCO),DL835,518.81,2955.91
13,2023-01-02 01:18:00,2023-01-02 04:20:00,Phoenix (PHX),Minneapolis (MSP),DL1412,535.21,2460.58
14,2023-01-01 20:44:00,2023-01-01 00:08:00,Minneapolis (MSP),Phoenix (PHX),DL1412,717.28,3462.97
15,2023-01-01 16:03:00,2023-01-01 19:34:00,Orlando (MCO),Minneapolis (MSP),DL1739,395.27,1012.6
16,2023-01-01 12:05:00,2023-01-01 14:53:00,New York (LGA),Orlando (MCO),DL2375,302.76,1629.99
