Id_delta	depart_date_time	arrive_date_time	depart_airport	arrive_airport	flight_number	flight_cost_coach	flight_cost_business	flight_cost_first
1	2023-01-05 20:39:00	2023-01-05 05:22:00	Atlanta (ATL)	Tucson (TUS)	DL2316	337.49	897.95	7837.03
2	2023-01-04 20:39:00	2023-01-04 00:08:00	Phoenix (PHX)	Atlanta (ATL)	DL2355	733.28	2854.25	3029.78
3	2023-01-04 15:10:00	2023-01-04 19:29:00	Atlanta (ATL)	Phoenix (PHX)	DL2355	296.42	770.45	6529.64
4	2023-01-04 11:45:00	2023-01-04 14:00:00	San Antonio (SAT)	Atlanta (ATL)	DL2115	636.16	1607.39	8589.3
5	2023-01-04 00:20:00	2023-01-04 03:00:00	Atlanta (ATL)	San Antonio (SAT)	DL2247	250.71	1212.51	6510.18
6	2023-01-03 19:55:00	2023-01-03 22:38:00	Cancun (CUN)	Atlanta (ATL)	DL597	417.51	1875.41	4883.9
7	2023-01-03 16:14:00	2023-01-03 18:55:00	Atlanta (ATL)	Cancun (CUN)	DL598	595.43	1152.84	5130.07
8	2023-01-03 12:15:00	2023-01-03 14:16:00	Cleveland (CLE)	Atlanta (ATL)	DL2218	424.06	1084.22	4190.91
9	2023-01-03 00:59:00	2023-01-03 02:44:00	Atlanta (ATL)	Cleveland (CLE)	DL343	360.78	2787.07	6804.56
10	2023-01-02 21:10:00	2023-01-02 23:53:00	New York (LGA)	Atlanta (ATL)	DL490	366.72	1496.43	3110.66
11	2023-01-02 17:31:00	2023-01-02 19:59:00	Orlando (MCO)	New York (LGA)	DL2759	418.15	1062.76	6837.23
12	2023-01-02 13:00:00	2023-01-02 16:21:00	Minneapolis (MSP)	Orlando (MCO)	DL835	518.81	2955.91	6959.57
13	2023-01-02 01:18:00	2023-01-02 04:20:00	Phoenix (PHX)	Minneapolis (MSP)	DL1412	535.21	2460.58	9433.81
14	2023-01-01 20:44:00	2023-01-01 00:08:00	Minneapolis (MSP)	Phoenix (PHX)	DL1412	717.28	3462.97	3559.46
15	2023-01-01 16:03:00	2023-01-01 19:34:00	Orlando (MCO)	Minneapolis (MSP)	DL1739	395.27	1012.6	8043
16	2023-01-01 12:05:00	2023-01-01 14:53:00	New York (LGA)	Orlando (MCO)	DL2375	302.76	1629.99	9000.77
17	2023-01-01 01:45:00	2023-01-01 03:34:00	Detroit (DTW)	New York (LGA)	DL453	594.72	3069.6	8893.67
18	2022-12-31 19:54:00	2022-12-31 00:15:00	Seattle (SEA)	Detroit (DTW)	DL2958	576.64	1660.17	6816.68
19	2022-12-31 13:25:00	2022-12-31 18:44:00	Detroit (DTW)	Seattle (SEA)	DL1251	517.97	3385.82	5968.38
20	2022-12-31 06:05:00	2022-12-31 10:29:00	Los Angeles (LAX)	Detroit (DTW)	DL2683	435.74	2098.26	4993.06
21	2022-12-31 00:50:00	2022-12-31 04:55:00	Minneapolis (MSP)	Los Angeles (LAX)	DL2584	418.36	1187.8	8016.89
22	2022-12-30 19:55:00	2022-12-30 23:35:00	Fort Myers (RSW)	Minneapolis (MSP)	DL749	348.19	2204.53	6651.04
