Id_delta,depart_date_time,arrive_date_time,depart_airport,arrive_airport,flight_number,flight_cost_coach,flight_cost_business,flight_cost_first,org_dest_code,org_dest_code,distances_miles,org_dest_code
1456,"2022-12-26 23:48:00","2022-12-26 02:44:00","Albuquerque (ABQ)","Atlanta (ATL)",DL2728,660.38,3151.27,7412.1,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
1212,"2023-01-02 18:45:00","2023-01-02 21:33:00","Albuquerque (ABQ)","Atlanta (ATL)",DL955,389.58,2835.45,4913.73,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
850,"2022-12-31 21:30:00","2022-12-31 00:23:00","Albuquerque (ABQ)","Atlanta (ATL)",DL1569,498.57,3221.84,3303.26,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
838,"2023-01-03 23:54:00","2023-01-03 02:50:00","Albuquerque (ABQ)","Atlanta (ATL)",DL2728,492.15,2821,6310.96,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
737,"2023-01-02 14:10:00","2023-01-02 17:09:00","Albuquerque (ABQ)","Atlanta (ATL)",DL1026,717.27,1108.14,4174.19,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
525,"2022-12-30 18:45:00","2022-12-30 21:33:00","Albuquerque (ABQ)","Atlanta (ATL)",DL955,417.52,3236.63,3299.45,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
479,"2023-01-01 14:10:00","2023-01-01 17:09:00","Albuquerque (ABQ)","Atlanta (ATL)",DL1026,560.87,2895.88,7396.19,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
418,"2022-12-28 14:10:00","2022-12-28 17:09:00","Albuquerque (ABQ)","Atlanta (ATL)",DL1026,720.87,1542.15,4811.72,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
382,"2022-12-27 23:53:00","2022-12-27 02:49:00","Albuquerque (ABQ)","Atlanta (ATL)",DL2728,676.09,913.18,6879.81,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
258,"2023-01-01 21:30:00","2023-01-01 00:23:00","Albuquerque (ABQ)","Atlanta (ATL)",DL1569,484.81,1660.21,6613.62,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
82,"2022-12-28 23:53:00","2022-12-28 02:49:00","Albuquerque (ABQ)","Atlanta (ATL)",DL2728,471.72,1230.82,7872.01,ABQ_ATL,ABQ_ATL,1269,ABQ_ATL
1213,"2023-01-02 14:00:00","2023-01-02 17:35:00","Atlanta (ATL)","Albuquerque (ABQ)",DL955,611.73,2176.26,8305.79,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
851,"2022-12-31 16:35:00","2022-12-31 20:09:00","Atlanta (ATL)","Albuquerque (ABQ)",DL1569,697.75,2619.77,3144.86,ATL_ABQ,ATL_ABQ,1269,ATL_ABQ
