Id_delta,depart_date_time,arrive_date_time,depart_airport,arrive_airport,flight_number,flight_cost_coach,flight_cost_business
1,2023-01-05 01:15:00,2023-01-05 03:50:00,Houston (IAH),Denver (DEN),WN309,745.53,3862.14
2,2023-01-04 23:10:00,2023-01-04 00:25:00,Dallas (DAL),Houston (IAH),WN309,676.23,2960.28
3,2023-01-04 19:00:00,2023-01-04 22:30:00,Washington (DCA),Dallas (DAL),WN309,599.44,3756.96
4,2023-01-04 16:40:00,2023-01-04 18:20:00,Nashville (BNA),Washington (DCA),WN2750,177.63,2024.8
5,2023-01-04 14:00:00,2023-01-04 16:05:00,Orlando (MCO),Nashville (BNA),WN2750,679.09,3541.33
6,2023-01-04 10:45:00,2023-01-04 13:10:00,Columbus (CMH),Orlando (MCO),WN884,830.37,1179.83
7,2023-01-04 01:40:00,2023-01-04 03:50:00,Tampa (TPA),Columbus (CMH),WN551,1041.08,3702.58
8,2023-01-03 23:55:00,2023-01-03 01:00:00,Fort Lauderdale (FLL),Tampa (TPA),WN551,1089.88,1534.05
9,2023-01-03 20:15:00,2023-01-03 23:00:00,Baltimore (BWI),Fort Lauderdale (FLL),WN551,453.92,2375.01
10,2023-01-03 17:25:00,2023-01-03 19:10:00,Chicago (MDW),Baltimore (BWI),WN2389,753.94,2126.51
11,2023-01-03 01:40:00,2023-01-03 02:55:00,Detroit (DTW),Chicago (MDW),WN1740,832.73,1473.12
12,2023-01-02 22:41:00,2023-01-02 03:10:00,Denver (DEN),Palm Springs (PSP),WN3136,299.52,3991.22
13,2023-01-02 22:25:00,2023-01-02 01:00:00,Denver (DEN),Detroit (DTW),WN1740,512.72,1010.59
14,2023-01-02 19:30:00,2023-01-02 21:35:00,Dallas (DAL),Denver (DEN),WN3136,240.92,1870.12
15,2023-01-02 17:20:00,2023-01-02 18:50:00,Kansas City (MCI),Dallas (DAL),WN155,312.11,2845.8
16,2023-01-02 15:05:00,2023-01-02 16:40:00,Dallas (DAL),Kansas City (MCI),WN2829,1047.94,755.65
17,2023-01-02 00:45:00,2023-01-02 01:50:00,Tulsa (TUL),Dallas (DAL),WN1419,1093.82,2326.06
18,2023-01-01 22:15:00,2023-01-01 00:05:00,Chicago (MDW),Tulsa (TUL),WN1419,703.49,2025.73
