Id_delta	depart_date_time	arrive_date_time	depart_airport	arrive_airport	flight_number	flight_cost_coach	flight_cost_business	flight_cost_first	org_dest_code
1	2023-01-05 01:15:00	2023-01-05 03:50:00	Houston (IAH)	Denver (DEN)	WN309	745.53	3862.14	8070.65	IAH_DEN
2	2023-01-04 23:10:00	2023-01-04 00:25:00	Dallas (DAL)	Houston (IAH)	WN309	676.23	2960.28	3235.02	DAL_IAH
3	2023-01-04 19:00:00	2023-01-04 22:30:00	Washington (DCA)	Dallas (DAL)	WN309	599.44	3756.96	8223.33	
4	2023-01-04 16:40:00	2023-01-04 18:20:00	Nashville (BNA)	Washington (DCA)	WN2750	177.63	2024.8	4713.76	
5	2023-01-04 14:00:00	2023-01-04 16:05:00	Orlando (MCO)	Nashville (BNA)	WN2750	679.09	3541.33	8486.19	
6	2023-01-04 10:45:00	2023-01-04 13:10:00	Columbus (CMH)	Orlando (MCO)	WN884	830.37	1179.83	7325.95	CMH_MCO
7	2023-01-04 01:40:00	2023-01-04 03:50:00	Tampa (TPA)	Columbus (CMH)	WN551	1041.08	3702.58	5051.27	
8	2023-01-03 23:55:00	2023-01-03 01:00:00	Fort Lauderdale (FLL)	Tampa (TPA)	WN551	1089.88	1534.05	7604.01	FLL_TPA
9	2023-01-03 20:15:00	2023-01-03 23:00:00	Baltimore (BWI)	Fort Lauderdale (FLL)	WN551	453.92	2375.01	6487.15	BWI_FLL
10	2023-01-03 17:25:00	2023-01-03 19:10:00	Chicago (MDW)	Baltimore (BWI)	WN2389	753.94	2126.51	7333.29	MDW_BWI
11	2023-01-03 01:40:00	2023-01-03 02:55:00	Detroit (DTW)	Chicago (MDW)	WN1740	832.73	1473.12	6347.09	DTW_MDW
12	2023-01-02 22:41:00	2023-01-02 03:10:00	Denver (DEN)	Palm Springs (PSP)	WN3136	299.52	3991.22	4685.08	DEN_PSP
13	2023-01-02 22:25:00	2023-01-02 01:00:00	Denver (DEN)	Detroit (DTW)	WN1740	512.72	1010.59	7754.94	DEN_DTW
14	2023-01-02 19:30:00	2023-01-02 21:35:00	Dallas (DAL)	Denver (DEN)	WN3136	240.92	1870.12	6492.17	DAL_DEN
15	2023-01-02 17:20:00	2023-01-02 18:50:00	Kansas City (MCI)	Dallas (DAL)	WN155	312.11	2845.8	6976.42	MCI_DAL
16	2023-01-02 15:05:00	2023-01-02 16:40:00	Dallas (DAL)	Kansas City (MCI)	WN2829	1047.94	755.65	4554.67	DAL_MCI
17	2023-01-02 00:45:00	2023-01-02 01:50:00	Tulsa (TUL)	Dallas (DAL)	WN1419	1093.82	2326.06	7897.75	
18	2023-01-01 22:15:00	2023-01-01 00:05:00	Chicago (MDW)	Tulsa (TUL)	WN1419	703.49	2025.73	6092.53	MDW_TUL
19	2023-01-01 18:15:00	2023-01-01 21:30:00	Phoenix (PHX)	Chicago (MDW)	WN3730	322.64	3008.53	5483.84	
20	2023-01-01 15:55:00	2023-01-01 17:20:00	Long Beach (LGB)	Phoenix (PHX)	WN3730	1055.51	2896.23	6157.92	
21	2022-12-31 23:55:00	2022-12-31 04:40:00	Nashville (BNA)	Long Beach (LGB)	WN2069	223.68	1156.61	6324.76	
22	2022-12-31 21:10:00	2022-12-31 23:15:00	Washington (DCA)	Nashville (BNA)	WN2069	579.58	3250.55	2608.54	
23	2022-12-31 18:45:00	2022-12-31 20:25:00	Nashville (BNA)	Washington (DCA)	WN2913	631.06	2696.57	2833.78	
24	2022-12-31 15:15:00	2022-12-31 17:45:00	Fort Lauderdale (FLL)	Nashville (BNA)	WN2913	845.71	2737.73	3576.44	FLL_BNA
25	2022-12-31 11:30:00	2022-12-31 14:15:00	Baltimore (BWI)	Fort Lauderdale (FLL)	WN502	1078.62	2466.21	6872.42	BWI_FLL
26	2022-12-31 02:20:00	2022-12-31 05:05:00	Houston (HOU)	Baltimore (BWI)	WN2225	287.99	1743.9	6290.49	HOU_BWI
27	2022-12-30 23:40:00	2022-12-30 01:05:00	Lubbock (LBB)	Houston (HOU)	WN2697	738.81	1300.47	5634.85	
28	2022-12-30 21:40:00	2022-12-30 22:55:00	Dallas (DAL)	Lubbock (LBB)	WN3477	614.18	3331.01	8287.4	DAL_LBB
29	2022-12-30 17:20:00	2022-12-30 18:25:00	Houston (IAH)	Dallas (DAL)	WN3278	255.62	3084.8	8189.96	IAH_DAL
30	2022-12-30 15:25:00	2022-12-30 16:45:00	New Orleans (MSY)	Houston (IAH)	WN3278	730.73	2597.47	6124.76	
31	2022-12-30 11:45:00	2022-12-30 14:45:00	Baltimore (BWI)	New Orleans (MSY)	WN3278	427.66	1120.91	4339.31	BWI_MSY
